education,hours-per-week,sex,age,race,workclass,Major_Group,Age_Group
Assoc-acdm,45,Female,33,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,40,Male,63,White,Private,Business,56–65
Bachelors,56,Female,48,White,Private,Other,46–55
HS-grad,45,Male,25,White,Private,Other,18–25
HS-grad,10,Male,41,White,Self-emp-not-inc,Other,36–45
HS-grad,40,Male,26,White,Private,Other,26–35
Some-college,40,Female,23,Black,Private,Business,18–25
HS-grad,40,Female,33,Black,State-gov,Other,26–35
Masters,17,Male,30,Asian-Pac-Islander,State-gov,Health,26–35
HS-grad,20,Female,67,White,Self-emp-not-inc,Other,66+
HS-grad,55,Male,32,White,Private,Other,26–35
HS-grad,60,Male,48,White,Self-emp-not-inc,Other,46–55
HS-grad,24,Female,51,White,Private,Other,46–55
Masters,40,Male,39,Asian-Pac-Islander,Private,Other,36–45
Bachelors,60,Male,40,White,Self-emp-inc,Health,36–45
HS-grad,40,Male,40,Black,Private,Other,36–45
HS-grad,40,Male,19,White,Private,Other,18–25
HS-grad,36,Female,28,White,Private,Other,26–35
Bachelors,60,Male,47,White,Private,Health,46–55
Some-college,20,Female,20,White,Private,Health,18–25
HS-grad,40,Male,41,White,Private,Other,36–45
Some-college,40,Female,29,Amer-Indian-Eskimo,Private,Other,26–35
Bachelors,50,Male,40,White,Private,Business,36–45
HS-grad,40,Female,61,White,Private,Other,56–65
Less than HS,40,Male,25,White,Private,Other,18–25
HS-grad,40,Male,26,White,Private,Other,26–35
Bachelors,40,Female,43,White,Private,Business,36–45
Less than HS,45,Male,17,White,Private,Other,NA
Masters,40,Female,43,Black,Local-gov,Health,36–45
HS-grad,40,Male,73,White,Private,Other,66+
Some-college,40,Female,46,White,Local-gov,Other,46–55
Some-college,20,Male,19,White,Private,Other,18–25
HS-grad,40,Male,37,White,Private,Other,36–45
Some-college,40,Male,26,White,Private,Business,26–35
HS-grad,40,Male,47,White,Private,Other,46–55
Masters,40,Male,47,White,Local-gov,Health,46–55
Bachelors,40,Male,29,White,Private,Health,26–35
HS-grad,40,Female,29,White,Private,Other,26–35
Bachelors,55,Male,33,White,Private,Business,26–35
HS-grad,40,Male,20,White,Private,Other,18–25
Less than HS,48,Female,28,Other,Private,Other,26–35
Masters,40,Male,41,White,State-gov,Health,36–45
Bachelors,50,Male,43,White,Private,Business,36–45
Less than HS,46,Male,35,White,Private,Other,26–35
Less than HS,25,Female,18,White,Private,Other,18–25
Some-college,40,Male,55,White,State-gov,Business,46–55
HS-grad,40,Female,44,Black,Private,Other,36–45
HS-grad,15,Female,64,White,Private,Other,56–65
Assoc-voc,75,Male,34,White,Self-emp-not-inc,Industrial Arts & Consumer Services,26–35
Some-college,60,Male,38,White,Private,Business,36–45
HS-grad,8,Female,25,White,Private,Other,18–25
Some-college,40,Male,21,Black,Private,Other,18–25
Less than HS,53,Male,37,White,Private,Other,36–45
Some-college,40,Female,39,White,Private,Business,36–45
Some-college,50,Female,34,White,Private,Business,26–35
Bachelors,45,Female,23,White,Private,Business,18–25
Some-college,40,Male,54,White,Private,Engineering,46–55
Masters,70,Male,49,White,Self-emp-inc,Other,46–55
HS-grad,40,Female,25,White,Private,Other,18–25
Assoc-acdm,50,Male,51,White,Private,Industrial Arts & Consumer Services,46–55
HS-grad,35,Male,29,White,Private,Other,26–35
Bachelors,48,Female,27,Black,State-gov,Business,26–35
HS-grad,40,Female,53,White,Private,Other,46–55
Bachelors,55,Male,68,White,Private,Health,66+
HS-grad,40,Male,56,White,Private,Other,56–65
HS-grad,48,Female,24,Amer-Indian-Eskimo,Private,Other,18–25
Some-college,40,Female,24,White,Private,Business,18–25
Masters,55,Male,41,White,Local-gov,Other,36–45
HS-grad,19,Female,45,White,Private,Other,36–45
HS-grad,40,Male,35,White,Private,Other,26–35
HS-grad,40,Male,21,White,Private,Other,18–25
Less than HS,25,Female,45,Black,Private,Other,36–45
Less than HS,30,Female,18,White,Private,Other,18–25
Bachelors,25,Male,49,White,Private,Other,46–55
Assoc-voc,36,Female,49,White,Private,Industrial Arts & Consumer Services,46–55
Bachelors,37,Male,45,White,Local-gov,Health,36–45
HS-grad,40,Male,27,Asian-Pac-Islander,Private,Other,26–35
Some-college,40,Male,28,Asian-Pac-Islander,Private,Business,26–35
Bachelors,45,Male,35,White,Private,Health,26–35
Some-college,40,Male,33,White,Private,Other,26–35
Less than HS,35,Male,35,White,Private,Other,26–35
HS-grad,40,Male,19,White,Private,Other,18–25
Some-college,28,Female,33,White,Private,Other,26–35
HS-grad,40,Male,28,Amer-Indian-Eskimo,Private,Other,26–35
Some-college,40,Female,49,White,Private,Business,46–55
Some-college,25,Male,39,White,Self-emp-inc,Health,36–45
HS-grad,40,Female,22,White,Private,Other,18–25
Less than HS,40,Male,42,White,Private,Other,36–45
Some-college,40,Male,22,White,Private,Business,18–25
HS-grad,40,Male,18,White,Private,Other,18–25
Less than HS,40,Male,49,White,Local-gov,Other,46–55
Doctorate,40,Male,33,White,Self-emp-inc,Other,26–35
HS-grad,45,Male,28,White,Private,Other,26–35
Less than HS,35,Male,42,White,Private,Other,36–45
Some-college,25,Male,20,White,Private,Other,18–25
Some-college,48,Male,50,White,Local-gov,Business,46–55
Some-college,40,Male,32,White,Private,Business,26–35
HS-grad,40,Female,31,White,Federal-gov,Other,26–35
Assoc-voc,40,Male,29,Black,Private,Industrial Arts & Consumer Services,26–35
Some-college,40,Male,46,White,Federal-gov,Other,46–55
Doctorate,77,Male,32,White,Self-emp-inc,Other,26–35
HS-grad,24,Female,61,White,Private,Other,56–65
Less than HS,55,Male,43,White,Self-emp-not-inc,Other,36–45
HS-grad,40,Female,35,White,Private,Other,26–35
Bachelors,40,Male,39,White,State-gov,Health,36–45
Some-college,60,Male,42,White,Self-emp-not-inc,Other,36–45
Bachelors,40,Female,23,White,Private,Health,18–25
Bachelors,45,Male,32,White,Private,Business,26–35
HS-grad,85,Male,52,White,Private,Other,46–55
Assoc-acdm,40,Male,36,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,72,Female,50,White,Private,Other,46–55
Prof-school,12,Male,71,White,Private,Law & Public Policy,66+
HS-grad,30,Female,27,Black,Private,Other,26–35
HS-grad,60,Male,56,White,Private,Other,56–65
Some-college,40,Male,28,White,Self-emp-not-inc,Health,26–35
HS-grad,40,Male,45,White,Private,Other,36–45
HS-grad,40,Female,28,White,Private,Other,26–35
Some-college,40,Male,28,White,Local-gov,Business,26–35
Some-college,15,Female,18,White,Private,Other,18–25
Less than HS,40,Male,62,White,Private,Other,56–65
Less than HS,40,Female,35,White,Private,Other,26–35
Less than HS,60,Male,39,White,Private,Other,36–45
Some-college,20,Male,24,Black,Private,Business,18–25
Less than HS,40,Male,58,Black,Private,Other,56–65
HS-grad,40,Male,48,White,Private,Other,46–55
Bachelors,50,Male,57,White,Private,Business,56–65
Bachelors,60,Male,31,White,Private,Business,26–35
HS-grad,40,Male,25,White,Private,Other,18–25
Bachelors,36,Female,34,White,Private,Health,26–35
Less than HS,72,Male,29,White,Self-emp-not-inc,Other,26–35
Assoc-acdm,40,Female,38,Black,Private,Industrial Arts & Consumer Services,36–45
Some-college,40,Female,21,White,Private,Other,18–25
HS-grad,70,Male,34,White,Self-emp-not-inc,Other,26–35
Bachelors,32,Female,50,White,Private,Business,46–55
HS-grad,40,Female,50,Black,Private,Other,46–55
Assoc-voc,45,Female,49,Black,Federal-gov,Industrial Arts & Consumer Services,46–55
Bachelors,70,Male,30,White,Private,Health,26–35
Masters,20,Male,29,Asian-Pac-Islander,State-gov,Health,26–35
Some-college,20,Male,22,Other,State-gov,Business,18–25
HS-grad,50,Male,42,White,Private,Other,36–45
Some-college,48,Female,31,White,Private,Other,26–35
Bachelors,21,Male,42,White,Self-emp-not-inc,Health,36–45
Some-college,20,Male,20,White,Private,Other,18–25
Less than HS,40,Male,50,White,Private,Other,46–55
Less than HS,40,Male,27,White,Self-emp-inc,Other,26–35
Less than HS,40,Male,26,White,Private,Other,26–35
Some-college,40,Male,20,White,Private,Business,18–25
Some-college,40,Male,51,White,Private,Engineering,46–55
HS-grad,40,Male,52,White,Private,Other,46–55
HS-grad,38,Male,33,White,Private,Other,26–35
Bachelors,60,Male,31,Asian-Pac-Islander,Private,Business,26–35
Some-college,40,Female,24,White,Private,Other,18–25
Bachelors,40,Male,56,White,Private,Other,56–65
Less than HS,50,Male,29,White,Private,Other,26–35
HS-grad,30,Female,18,White,Private,Other,18–25
Some-college,50,Male,43,Black,Private,Other,36–45
Doctorate,64,Male,43,White,State-gov,Other,36–45
HS-grad,40,Male,21,White,Private,Other,18–25
HS-grad,40,Female,51,White,Private,Other,46–55
Some-college,65,Male,41,White,Private,Other,36–45
Some-college,40,Male,45,White,State-gov,Health,36–45
HS-grad,30,Female,20,White,Private,Other,18–25
Bachelors,60,Female,28,White,Private,Business,26–35
Masters,40,Female,50,White,Local-gov,Health,46–55
Bachelors,40,Male,47,White,Private,Engineering,46–55
Less than HS,35,Male,80,White,Self-emp-not-inc,Other,66+
HS-grad,35,Female,47,White,Self-emp-not-inc,Other,46–55
HS-grad,50,Male,45,White,Private,Other,36–45
Less than HS,12,Male,17,White,Private,Other,NA
HS-grad,50,Male,37,White,Private,Other,36–45
Some-college,40,Female,27,White,Private,Other,26–35
Less than HS,16,Male,17,White,Private,Other,NA
HS-grad,40,Male,18,White,Self-emp-not-inc,Other,18–25
HS-grad,40,Male,57,White,Private,Other,56–65
HS-grad,40,Female,26,White,Private,Other,26–35
Masters,40,Female,26,White,Private,Other,26–35
Bachelors,45,Male,36,White,Self-emp-not-inc,Health,36–45
HS-grad,80,Male,51,White,Private,Other,46–55
Some-college,40,Male,38,White,Private,Other,36–45
HS-grad,40,Male,51,White,Private,Other,46–55
Less than HS,40,Male,24,White,Private,Other,18–25
HS-grad,65,Male,35,White,Private,Other,26–35
Bachelors,40,Male,51,White,Self-emp-inc,Business,46–55
Bachelors,40,Male,28,White,Private,Business,26–35
HS-grad,40,Male,37,White,Private,Other,36–45
HS-grad,40,Male,43,White,Private,Other,36–45
HS-grad,30,Male,23,White,Private,Other,18–25
Bachelors,40,Female,42,White,Private,Business,36–45
Some-college,40,Female,58,White,Private,Business,56–65
HS-grad,20,Female,52,Black,Local-gov,Other,46–55
HS-grad,50,Female,29,Amer-Indian-Eskimo,Private,Other,26–35
Some-college,60,Male,27,White,Private,Engineering,26–35
Some-college,40,Female,28,Black,Private,Business,26–35
Assoc-acdm,20,Male,59,White,Private,Industrial Arts & Consumer Services,56–65
HS-grad,40,Male,28,White,Private,Other,26–35
Some-college,40,Male,24,White,Private,Engineering,18–25
Less than HS,40,Male,20,White,Private,Other,18–25
Bachelors,40,Male,54,White,Private,Business,46–55
HS-grad,25,Male,65,White,Private,Other,56–65
Some-college,40,Male,38,White,Private,Engineering,36–45
HS-grad,40,Male,29,White,Private,Other,26–35
HS-grad,40,Female,27,Black,Private,Other,26–35
Masters,40,Male,36,White,Private,Other,36–45
HS-grad,40,Male,55,White,State-gov,Other,46–55
Less than HS,30,Male,22,White,Private,Other,18–25
Bachelors,40,Female,28,White,Private,Health,26–35
Some-college,30,Female,20,White,Private,Business,18–25
Bachelors,40,Male,24,White,Private,Health,18–25
Masters,50,Male,36,White,Private,Other,36–45
HS-grad,40,Male,68,White,Self-emp-inc,Other,66+
HS-grad,50,Male,49,White,Self-emp-not-inc,Other,46–55
Less than HS,40,Male,18,White,Private,Other,18–25
Doctorate,60,Female,50,White,Self-emp-not-inc,Other,46–55
Less than HS,40,Female,37,Black,Private,Other,36–45
Masters,50,Male,60,White,Private,Other,56–65
Some-college,40,Male,43,White,Private,Engineering,36–45
Doctorate,70,Female,43,White,Self-emp-inc,Other,36–45
Less than HS,9,Female,17,White,Private,Other,NA
Some-college,50,Female,43,White,Private,Business,36–45
Some-college,15,Female,21,White,Self-emp-not-inc,Business,18–25
Some-college,60,Male,48,White,Self-emp-not-inc,Other,46–55
Bachelors,45,Male,56,White,Private,Business,56–65
Assoc-acdm,30,Female,21,White,Private,Industrial Arts & Consumer Services,18–25
Assoc-acdm,40,Male,28,Asian-Pac-Islander,Local-gov,Industrial Arts & Consumer Services,26–35
HS-grad,40,Male,39,White,Self-emp-not-inc,Other,36–45
Less than HS,40,Male,40,White,Private,Other,36–45
Assoc-acdm,40,Male,38,White,Local-gov,Industrial Arts & Consumer Services,36–45
Some-college,36,Male,59,White,Private,Health,56–65
HS-grad,40,Male,51,White,Federal-gov,Other,46–55
HS-grad,16,Male,19,White,Private,Other,18–25
HS-grad,40,Female,23,White,Private,Other,18–25
Bachelors,40,Female,31,White,Private,Health,26–35
Assoc-acdm,40,Male,42,Black,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,43,White,Private,Other,36–45
Some-college,55,Male,45,White,Private,Engineering,36–45
Some-college,35,Male,34,White,Private,Other,26–35
HS-grad,30,Male,21,White,Private,Other,18–25
Some-college,40,Male,34,White,Private,Business,26–35
Some-college,40,Male,55,White,Self-emp-inc,Business,46–55
Assoc-voc,40,Female,30,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,48,Male,29,White,Private,Other,26–35
Some-college,20,Female,19,White,Private,Business,18–25
Bachelors,35,Male,45,White,Self-emp-not-inc,Health,36–45
Bachelors,72,Male,42,Asian-Pac-Islander,Private,Other,36–45
Bachelors,40,Female,32,White,Private,Business,26–35
Some-college,40,Male,90,White,Self-emp-not-inc,Other,66+
Bachelors,44,Male,44,White,State-gov,Business,36–45
HS-grad,40,Male,34,White,Self-emp-not-inc,Other,26–35
Less than HS,30,Female,35,White,Private,Other,26–35
Some-college,25,Male,39,White,Self-emp-not-inc,Engineering,36–45
Bachelors,40,Male,29,Black,Private,Health,26–35
HS-grad,32,Female,24,White,Private,Other,18–25
Some-college,17,Male,49,White,Private,Other,46–55
Bachelors,60,Male,54,Asian-Pac-Islander,Private,Business,46–55
Less than HS,40,Male,31,White,Private,Other,26–35
Some-college,50,Female,44,White,Private,Business,36–45
HS-grad,40,Male,27,White,Self-emp-not-inc,Other,26–35
HS-grad,40,Male,24,White,Private,Other,18–25
HS-grad,60,Male,30,White,Private,Other,26–35
Some-college,40,Female,27,White,Private,Business,26–35
Bachelors,20,Male,34,White,State-gov,Business,26–35
Some-college,19,Female,25,White,State-gov,Business,18–25
HS-grad,40,Female,39,White,Private,Other,36–45
Some-college,40,Male,28,White,Private,Engineering,26–35
HS-grad,70,Male,51,White,Self-emp-not-inc,Other,46–55
Some-college,26,Male,33,Asian-Pac-Islander,Private,Business,26–35
Assoc-voc,38,Female,27,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,40,Male,29,White,Private,Other,26–35
Less than HS,40,Male,33,White,State-gov,Other,26–35
HS-grad,50,Male,37,White,Private,Other,36–45
HS-grad,40,Male,20,White,Private,Other,18–25
Bachelors,40,Female,24,White,Private,Business,18–25
HS-grad,35,Female,29,White,Private,Other,26–35
Bachelors,45,Male,31,White,Private,Business,26–35
Some-college,40,Male,41,White,Private,Engineering,36–45
Some-college,40,Male,42,White,Self-emp-not-inc,Engineering,36–45
Some-college,30,Female,20,White,Private,Business,18–25
Less than HS,40,Male,54,White,Private,Other,46–55
Bachelors,55,Female,55,White,Private,Engineering,46–55
HS-grad,32,Male,21,White,Private,Other,18–25
Assoc-voc,45,Male,52,White,Private,Industrial Arts & Consumer Services,46–55
HS-grad,40,Male,19,White,Private,Other,18–25
Assoc-voc,40,Male,33,Black,Private,Industrial Arts & Consumer Services,26–35
HS-grad,35,Female,22,Black,Private,Other,18–25
HS-grad,38,Female,59,White,Private,Other,56–65
Less than HS,32,Male,31,White,Private,Other,26–35
HS-grad,40,Male,74,White,Self-emp-not-inc,Other,66+
Less than HS,40,Female,45,Black,Private,Other,36–45
HS-grad,40,Female,36,White,Private,Other,36–45
Some-college,60,Male,35,White,Self-emp-inc,Business,26–35
Some-college,40,Male,45,White,Private,Engineering,36–45
HS-grad,85,Male,42,White,Self-emp-not-inc,Other,36–45
Masters,40,Female,50,White,State-gov,Health,46–55
HS-grad,40,Female,39,White,Private,Other,36–45
Some-college,45,Male,44,White,Private,Business,36–45
Less than HS,56,Male,52,White,Private,Other,46–55
Bachelors,43,Male,24,White,Private,Health,18–25
Less than HS,99,Male,56,White,Self-emp-inc,Other,56–65
HS-grad,50,Male,27,White,Private,Other,26–35
Bachelors,45,Male,47,White,Self-emp-inc,Business,46–55
Prof-school,60,Male,40,Amer-Indian-Eskimo,Self-emp-not-inc,Law & Public Policy,36–45
HS-grad,40,Male,38,White,Private,Other,36–45
Assoc-voc,40,Female,27,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,38,Female,52,White,Private,Other,46–55
HS-grad,40,Male,22,White,Private,Other,18–25
Some-college,40,Male,41,White,Private,Engineering,36–45
HS-grad,20,Female,30,White,Private,Other,26–35
Bachelors,35,Male,55,Asian-Pac-Islander,Private,Other,46–55
Some-college,40,Male,25,White,Private,Business,18–25
Bachelors,40,Male,32,White,Private,Health,26–35
Some-college,60,Female,28,White,Private,Other,26–35
HS-grad,50,Male,33,White,Self-emp-inc,Other,26–35
HS-grad,40,Male,17,Black,Private,Other,NA
HS-grad,40,Male,27,White,Private,Other,26–35
Assoc-voc,20,Male,55,White,Private,Industrial Arts & Consumer Services,46–55
Some-college,18,Male,63,White,Federal-gov,Engineering,56–65
HS-grad,40,Female,39,White,Private,Other,36–45
Doctorate,52,Male,51,White,Federal-gov,Other,46–55
Less than HS,40,Male,67,White,Self-emp-not-inc,Other,66+
HS-grad,26,Female,27,White,Private,Other,26–35
Masters,45,Male,54,White,Private,Other,46–55
Less than HS,40,Male,59,Black,Private,Other,56–65
HS-grad,25,Female,18,White,Private,Other,18–25
HS-grad,20,Male,19,White,Private,Other,18–25
HS-grad,50,Male,31,White,Private,Other,26–35
Less than HS,7,Female,17,White,Private,Other,NA
HS-grad,40,Male,42,Asian-Pac-Islander,Private,Other,36–45
Some-college,30,Female,37,White,Private,Health,36–45
HS-grad,40,Male,51,White,Local-gov,Other,46–55
HS-grad,40,Female,48,White,Private,Other,46–55
HS-grad,40,Male,23,White,Private,Other,18–25
Assoc-voc,45,Male,27,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,40,Male,25,White,Private,Other,18–25
Assoc-acdm,6,Female,69,White,Private,Industrial Arts & Consumer Services,66+
Bachelors,44,Male,30,White,Private,Business,26–35
HS-grad,35,Male,33,White,Private,Other,26–35
HS-grad,48,Male,28,White,Private,Other,26–35
Less than HS,40,Male,45,White,Private,Other,36–45
Some-college,15,Male,25,White,Private,Business,18–25
Assoc-voc,45,Male,37,White,Private,Industrial Arts & Consumer Services,36–45
Less than HS,40,Male,59,White,Private,Other,56–65
HS-grad,30,Female,26,White,Private,Other,26–35
Some-college,25,Female,48,White,Private,Other,46–55
HS-grad,40,Male,64,White,Federal-gov,Other,56–65
Bachelors,50,Male,39,White,Private,Engineering,36–45
Bachelors,40,Male,24,White,Private,Business,18–25
Masters,35,Female,40,White,State-gov,Other,36–45
Masters,70,Male,46,White,Private,Other,46–55
Some-college,40,Male,35,Black,Federal-gov,Business,26–35
HS-grad,40,Female,43,White,Private,Other,36–45
HS-grad,40,Male,31,White,Private,Other,26–35
Some-college,25,Female,22,White,Private,Business,18–25
Some-college,30,Male,35,White,Private,Other,26–35
HS-grad,50,Male,35,White,Private,Other,26–35
Some-college,40,Female,35,White,State-gov,Engineering,26–35
Prof-school,40,Male,40,White,Private,Law & Public Policy,36–45
Masters,40,Female,50,White,Private,Health,46–55
Prof-school,63,Male,48,White,Self-emp-not-inc,Law & Public Policy,46–55
HS-grad,40,Female,46,White,Private,Other,46–55
HS-grad,38,Female,36,White,Private,Other,36–45
Bachelors,36,Male,37,White,State-gov,Health,36–45
Less than HS,45,Male,24,White,Private,Other,18–25
Bachelors,70,Female,47,White,Local-gov,Health,46–55
HS-grad,50,Male,35,White,Self-emp-not-inc,Other,26–35
Bachelors,40,Male,43,Asian-Pac-Islander,Private,Business,36–45
Less than HS,20,Male,18,White,State-gov,Other,18–25
HS-grad,50,Male,54,White,Private,Other,46–55
HS-grad,38,Female,62,Black,Private,Other,56–65
Bachelors,48,Male,36,White,Private,Engineering,36–45
Less than HS,40,Male,27,Amer-Indian-Eskimo,Private,Other,26–35
Some-college,14,Male,23,Asian-Pac-Islander,Private,Business,18–25
Less than HS,50,Male,33,White,Self-emp-not-inc,Other,26–35
Less than HS,40,Female,28,White,Private,Other,26–35
HS-grad,20,Male,22,White,Private,Other,18–25
Assoc-voc,60,Male,31,White,Self-emp-not-inc,Industrial Arts & Consumer Services,26–35
Bachelors,30,Male,26,White,Private,Other,26–35
Bachelors,50,Male,44,White,Private,Business,36–45
Bachelors,30,Male,73,White,Private,Health,66+
Bachelors,35,Female,44,White,Private,Business,36–45
Assoc-voc,45,Male,35,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,40,Female,27,White,Private,Business,26–35
Bachelors,50,Male,47,Black,Federal-gov,Business,46–55
HS-grad,45,Male,29,White,Private,Other,26–35
Some-college,26,Female,33,White,Private,Other,26–35
Some-college,15,Female,50,White,Private,Other,46–55
HS-grad,40,Male,32,White,Private,Other,26–35
Masters,40,Male,41,White,Self-emp-not-inc,Other,36–45
HS-grad,60,Male,45,White,Private,Other,36–45
HS-grad,36,Female,65,White,Private,Other,56–65
Some-college,40,Female,42,White,State-gov,Engineering,36–45
Bachelors,25,Male,33,Black,Self-emp-not-inc,Health,26–35
Bachelors,60,Male,32,White,Private,Business,26–35
Some-college,40,Male,42,White,Private,Health,36–45
Some-college,45,Female,49,White,Private,Business,46–55
HS-grad,45,Male,38,White,Private,Other,36–45
Some-college,50,Male,38,White,Private,Business,36–45
Some-college,52,Male,37,White,Private,Engineering,36–45
Some-college,30,Male,24,White,Private,Other,18–25
Some-college,50,Male,27,White,Self-emp-not-inc,Business,26–35
Less than HS,40,Female,25,Asian-Pac-Islander,Private,Other,18–25
HS-grad,50,Male,29,White,Private,Other,26–35
HS-grad,70,Male,46,White,Private,Other,46–55
HS-grad,96,Male,44,White,Self-emp-inc,Other,36–45
Bachelors,40,Female,26,Asian-Pac-Islander,Private,Business,26–35
Assoc-acdm,49,Male,46,White,Local-gov,Industrial Arts & Consumer Services,46–55
Some-college,40,Male,38,White,Private,Business,36–45
Some-college,40,Male,38,White,Private,Engineering,36–45
Bachelors,20,Male,22,White,State-gov,Business,18–25
Some-college,40,Male,33,White,Private,Business,26–35
Assoc-acdm,40,Male,50,Asian-Pac-Islander,Private,Industrial Arts & Consumer Services,46–55
HS-grad,41,Male,31,White,Local-gov,Other,26–35
Some-college,4,Female,26,White,Self-emp-not-inc,Health,26–35
Some-college,38,Male,42,White,Private,Other,36–45
HS-grad,40,Male,27,White,Private,Other,26–35
Masters,45,Male,34,White,Private,Health,26–35
HS-grad,40,Male,64,White,Private,Other,56–65
Some-college,40,Male,43,White,Private,Engineering,36–45
HS-grad,40,Male,39,White,Private,Other,36–45
Prof-school,40,Male,47,White,Self-emp-not-inc,Law & Public Policy,46–55
Masters,66,Male,56,White,Private,Health,56–65
Masters,20,Male,25,White,Local-gov,Health,18–25
Bachelors,35,Female,60,White,State-gov,Business,56–65
HS-grad,44,Male,52,White,Private,Other,46–55
HS-grad,16,Male,43,White,Private,Other,36–45
Bachelors,40,Female,46,Asian-Pac-Islander,Private,Business,46–55
Some-college,30,Female,19,White,Private,Business,18–25
Less than HS,20,Female,56,Black,Private,Other,56–65
Bachelors,40,Male,22,White,Private,Health,18–25
Less than HS,30,Female,39,Black,Private,Other,36–45
Some-college,40,Male,28,White,Private,Health,26–35
Bachelors,50,Male,31,White,Private,Business,26–35
HS-grad,35,Female,22,White,Private,Other,18–25
Bachelors,40,Male,39,White,Private,Business,36–45
Less than HS,40,Male,28,White,Self-emp-not-inc,Other,26–35
HS-grad,35,Female,31,White,Private,Other,26–35
Bachelors,40,Male,50,White,Private,Business,46–55
HS-grad,46,Male,34,White,Private,Other,26–35
HS-grad,40,Female,48,White,Private,Other,46–55
Bachelors,40,Female,51,White,Private,Business,46–55
HS-grad,40,Male,54,White,Private,Other,46–55
Assoc-voc,40,Male,44,White,Private,Industrial Arts & Consumer Services,36–45
Some-college,20,Female,20,Black,Private,Business,18–25
HS-grad,40,Male,37,Black,Private,Other,36–45
Some-college,40,Male,38,White,Private,Health,36–45
Assoc-acdm,40,Male,59,Black,Federal-gov,Industrial Arts & Consumer Services,56–65
Bachelors,50,Male,59,White,Self-emp-not-inc,Health,56–65
Some-college,48,Male,51,White,Private,Engineering,46–55
Some-college,40,Male,29,White,Private,Health,26–35
Some-college,40,Female,37,White,Private,Other,36–45
Less than HS,35,Male,42,White,Private,Other,36–45
Bachelors,50,Male,28,White,Self-emp-inc,Health,26–35
HS-grad,40,Female,34,White,Private,Other,26–35
Bachelors,40,Male,50,White,Self-emp-not-inc,Business,46–55
HS-grad,24,Male,22,White,Self-emp-inc,Other,18–25
HS-grad,52,Female,27,White,Private,Other,26–35
Prof-school,43,Female,45,White,State-gov,Law & Public Policy,36–45
HS-grad,38,Female,39,Black,Private,Other,36–45
Bachelors,35,Female,25,White,Local-gov,Health,18–25
Bachelors,40,Male,24,White,Self-emp-inc,Business,18–25
HS-grad,30,Female,18,White,Private,Other,18–25
Less than HS,38,Male,23,Black,Private,Other,18–25
Less than HS,40,Male,20,White,Private,Other,18–25
Less than HS,24,Female,17,White,Self-emp-not-inc,Other,NA
Bachelors,40,Male,63,White,Self-emp-inc,Other,56–65
Bachelors,65,Male,28,White,Local-gov,Other,26–35
Bachelors,50,Male,51,White,Federal-gov,Health,46–55
Bachelors,45,Female,29,White,Private,Business,26–35
Some-college,12,Female,64,White,Private,Business,56–65
Less than HS,25,Male,17,White,Private,Other,NA
Some-college,35,Female,45,Black,Local-gov,Business,36–45
Less than HS,20,Male,18,Black,Private,Other,18–25
HS-grad,40,Female,31,White,Local-gov,Other,26–35
Bachelors,50,Male,48,White,Self-emp-not-inc,Business,46–55
Some-college,45,Female,41,White,Private,Health,36–45
Prof-school,60,Male,65,White,Private,Law & Public Policy,56–65
Assoc-voc,40,Male,27,White,Private,Industrial Arts & Consumer Services,26–35
Assoc-voc,40,Male,39,White,Private,Industrial Arts & Consumer Services,36–45
Some-college,8,Male,51,White,Self-emp-not-inc,Engineering,46–55
Masters,45,Male,49,White,Private,Other,46–55
Bachelors,45,Male,36,White,Private,Business,36–45
HS-grad,40,Female,25,Black,Private,Other,18–25
Some-college,37,Female,41,Black,Private,Business,36–45
Less than HS,40,Female,31,White,Private,Other,26–35
Less than HS,37,Male,63,White,Private,Other,56–65
Bachelors,40,Female,50,White,State-gov,Business,46–55
Some-college,40,Male,63,White,Private,Other,56–65
Masters,99,Male,44,White,Self-emp-not-inc,Other,36–45
HS-grad,65,Male,48,White,Private,Other,46–55
Some-college,50,Male,51,White,Self-emp-not-inc,Business,46–55
HS-grad,15,Female,18,White,Private,Other,18–25
Some-college,25,Male,23,White,Private,Other,18–25
HS-grad,40,Male,31,White,Private,Other,26–35
HS-grad,40,Male,38,White,Private,Other,36–45
Some-college,60,Male,56,White,Private,Other,56–65
Less than HS,20,Male,31,White,Private,Other,26–35
Some-college,40,Male,46,White,Private,Business,46–55
Masters,50,Male,39,White,Private,Other,36–45
HS-grad,40,Male,56,Asian-Pac-Islander,Local-gov,Other,56–65
HS-grad,40,Female,31,White,Private,Other,26–35
Bachelors,40,Male,42,White,Self-emp-inc,Health,36–45
HS-grad,35,Male,53,White,Private,Other,46–55
Less than HS,15,Female,18,White,Private,Other,18–25
HS-grad,45,Male,27,White,Private,Other,26–35
Bachelors,40,Male,31,White,Private,Other,26–35
Masters,40,Male,52,White,Federal-gov,Other,46–55
HS-grad,40,Male,46,White,Private,Other,46–55
